x,y
1.7214,0.4962
5.2431,-3.1564
6.2142,10.1455
0.7725,-1.1991
1.9053,2.0178
9.318,15.2959
1.169,-2.0152
1.7329,0.0701
9.5091,-8.0555
6.4079,4.0927
4.0054,7.8185
5.3582,12.9134
6.797,-9.0475
3.1154,-0.6534
1.8107,2.2226
7.9864,15.3364
6.8684,5.5617
5.3676,-1.8306
8.259,5.6608
5.7162,2.1927
9.8187,2.0252
2.4428,-1.0049
5.7604,4.5055
5.0944,3.6033
3.8561,1.1733
6.1202,1.1161
2.7354,-2.7116
8.1209,-0.5481
8.7397,13.5887
1.7232,0.2985
4.9372,-5.1422
3.1329,5.683
1.2896,1.3964
9.0115,21.7559
4.5845,2.123
1.9031,-0.2597
6.8969,-6.9509
2.4211,4.5149
9.0636,25.8703
2.5629,-1.2789
0.8142,-0.472
2.4073,2.5527
3.7846,-1.7296
4.9546,0.6401
9.1083,0.6006
7.1249,4.1769
3.7235,5.7058
0.6603,0.2883
2.0183,2.936
9.9661,0.0103
4.8673,3.5468
7.0649,-11.8388
1.0193,-1.6474
0.8235,1.3172
8.536,-1.4144
6.0849,5.8997
3.4327,3.3198
3.5151,6.2503
1.3478,1.9298
2.1404,3.3237
0.7336,0.1639
8.4717,-2.2846
4.9299,-1.6397
1.7084,-0.3111
7.5228,-5.2054
2.3587,-0.4924
1.0882,0.2983
6.1847,4.0002
9.0097,0.6865
0.756,-1.9683
8.1488,2.6933
2.3066,1.5031
1.3826,2.4447
0.6706,0.906
3.2833,-0.9102
7.4076,-2.2241
5.1852,12.4622
8.6027,9.6777
2.5635,6.1665
3.4942,9.1591
