x,y
0.3456,-1.2274
0.8216,-0.6832
0.3304,-0.072
-1.3032,-0.9448
0.9054,-0.0983
0.4464,0.0955
-0.537,0.0356
0.5811,-0.5063
0.3646,0.5937
0.2941,0.8912
0.0284,0.3208
0.5467,-0.8182
-0.7365,0.7317
-0.1629,-0.5014
-0.4821,0.8792
0.5988,-1.0718
0.0397,0.9145
-0.2925,-0.0201
-0.7819,-1.2487
-0.2572,-0.3139
0.0081,0.0541
-0.2756,0.2728
1.2941,-0.9822
1.0067,-1.1074
-2.7112,0.1996
-1.889,-0.4667
-0.1748,0.2355
-0.4222,0.7595
0.2136,-1.6488
0.2173,0.2544
2.1178,1.2246
-1.112,-0.2975
-0.3776,-0.8108
2.0428,0.7522
0.6467,0.2534
0.6631,0.8959
-0.514,-0.3452
-1.6481,-1.4818
0.1675,-0.11
0.109,-0.4458
10.0,10.0
