x,y
0.0709,-0.3089
2.7028,7.3591
-2.135,4.8312
2.6919,6.2641
-1.129,0.1673
-0.46,0.4112
1.9662,3.3993
-0.5448,0.5323
0.2976,0.8481
-2.8346,6.3864
1.5211,2.5681
0.2289,1.277
-1.0216,0.7462
1.7306,2.1841
-1.1808,2.1466
-0.279,0.3313
-2.1957,5.7172
-0.5813,-0.0073
-1.7793,1.684
-1.4261,1.9238
1.5022,1.8107
-1.3175,2.5113
-0.0889,0.2015
2.8844,6.689
2.7699,6.4774
1.3487,2.7029
0.2474,0.741
-1.3387,1.1517
-2.0361,4.1446
2.8196,8.3954
0.0964,0.4777
-2.3048,6.1884
0.7409,0.8055
1.6601,2.6611
0.678,0.2009
2.5038,7.3247
-2.7624,5.3802
0.1715,-0.1092
-0.244,0.0925
-2.6259,5.47
0.848,1.0519
2.1158,3.8253
0.5576,1.1734
-1.4394,1.9463
2.0393,4.8279
0.057,1.2221
0.0653,0.3872
1.5182,1.4292
-2.1125,2.9482
1.9178,5.4312
1.0997,1.0981
1.7226,2.2787
-1.8503,3.5679
1.8142,3.0999
-1.8521,4.2823
-2.5107,6.3375
2.1314,4.5565
2.1677,3.9843
2.2592,5.5737
-0.1685,-1.0055
