group,value
g1,10.0513
g1,12.0396
g1,11.8371
g1,9.2345
g1,9.553
g1,9.2089
g1,10.8546
g1,9.9159
g1,11.1203
g1,7.229
g1,12.3498
g1,9.8554
g1,11.0206
g1,9.7952
g1,9.4314
g1,10.6947
g1,11.2368
g1,9.6962
g2,9.7708
g2,11.0285
g2,8.6945
g2,7.7284
g2,10.5925
g2,8.9942
g2,7.1195
g2,8.7789
g2,9.2986
g2,8.2102
g2,7.7613
g2,10.055
g2,11.3459
g2,9.6503
g2,8.8846
g2,10.5775
g2,11.0759
g2,9.55
g3,10.817
g3,11.5643
g3,9.6896
g3,8.7797
g3,10.5215
g3,10.3713
g3,11.6482
g3,8.0731
g3,9.0076
g3,8.7427
g3,7.399
g3,10.1897
g3,10.7917
g3,8.8918
g3,12.0785
g3,11.2329
g3,10.9411
g3,10.6026
g4,12.1335
g4,8.702
g4,11.6209
g4,11.6042
g4,8.0484
g4,11.2205
g4,10.3244
g4,11.8723
g4,10.0414
g4,10.6726
g4,11.2143
g4,9.3856
g4,11.5979
g4,10.5426
g4,11.4387
g4,9.9172
g4,12.3293
g4,11.6078
g5,11.033
g5,12.2479
g5,13.1896
g5,13.9868
g5,8.9396
g5,12.6247
g5,11.9976
g5,11.1592
g5,9.79
g5,13.1858
g5,9.4074
g5,12.1504
g5,13.2528
g5,8.9005
g5,10.8462
g5,9.3362
g5,11.6661
g5,13.5716
